TRAMO_ID,ANYO,PROVINCIA,VIA_NORM,TIPO_VIA,PK_INICIO,PK_FIN,LONGITUD,IMD_TOTAL,IMD_LIG,IMD_PES,VEH_KM,N_ACC,HUBO_ACCIDENTE,TASA_100M
60,2016,Zamora,A-11,Autopista libre y autovía,463.0,467.0,4.0,3296.0,2522.0,774.0,4812160.0,0,0,0.0
61,2016,La Rioja,A-12,Autopista libre y autovía,78.167,78.673,0.506,26642.0,22287.0,4355.0,4920511.0,0,0,0.0
62,2016,La Rioja,A-12,Autopista libre y autovía,93.535,98.64,5.105,15561.0,13358.0,2203.0,28995200.3,0,0,0.0
63,2016,La Rioja,A-12,Autopista libre y autovía,98.64,102.48,3.84,15342.0,13022.0,2320.0,21503347.2,0,0,0.0
64,2016,La Rioja,A-12,Autopista libre y autovía,102.48,107.89,5.41,14393.0,12203.0,2190.0,28421137.4,0,0,0.0
65,2016,La Rioja,A-12,Autopista libre y autovía,107.89,110.39,2.5,10996.0,8975.0,2021.0,10033850.0,0,0,0.0
66,2016,La Rioja,A-12,Autopista libre y autovía,110.39,114.22,3.83,8778.0,6865.0,1913.0,12271205.1,0,0,0.0
67,2016,La Rioja,A-12,Autopista libre y autovía,114.22,125.7,11.48,10366.0,8173.0,2193.0,43435613.2,0,0,0.0
68,2016,La Rioja,A-12,Autopista libre y autovía,125.7,126.935,1.235,68.0,64.0,4.0,30652.7,0,0,0.0
69,2016,La Rioja,A-12,Autopista libre y autovía,126.935,130.051,3.116,4768.0,2996.0,1772.0,5422837.1,0,0,0.0
70,2016,La Rioja,A-12,Autopista libre y autovía,130.051,131.888,1.837,4768.0,2996.0,1772.0,3196967.8,0,0,0.0
71,2016,La Rioja,A-13,Autopista libre y autovía,0.0,3.13,3.13,27972.0,26122.0,1850.0,31956611.4,7,1,21.9047
72,2016,La Rioja,A-13,Autopista libre y autovía,3.13,4.9399999999999995,1.81,9870.0,9179.0,691.0,6520615.5,1,1,15.335976
73,2016,La Rioja,A-13,Autopista libre y autovía,4.9399999999999995,5.21,0.27,5835.0,5460.0,375.0,575039.2,0,0,0.0
74,2016,Lleida,A-14,Autopista libre y autovía,6.0,8.6,2.6,17705.0,16932.0,773.0,16802045.0,0,0,0.0
75,2016,Lleida,A-14,Autopista libre y autovía,8.6,16.3,7.7,464.0,405.0,59.0,1304072.0,0,0,0.0
76,2016,Lleida,A-14R2,Carretera convencional,0.0,2.3,2.3,17705.0,16932.0,773.0,14863347.5,0,0,0.0
77,2016,Soria,A-15,Autopista libre y autovía,0.0,1.4,1.4,5429.0,3604.0,1825.0,2774219.0,1,1,36.046181
78,2016,Soria,A-15,Autopista libre y autovía,1.4,8.866,7.466,5429.0,3604.0,1825.0,14794513.6,0,0,0.0
79,2016,Soria,A-15,Autopista libre y autovía,8.866,13.07,4.204,5429.0,3604.0,1825.0,8330583.3,0,0,0.0
80,2016,Soria,A-15,Autopista libre y autovía,13.07,27.102,14.032,5283.0,3425.0,1858.0,27057835.4,3,1,11.087361
81,2016,Soria,A-15,Autopista libre y autovía,27.102,38.602,11.5,5715.0,3870.0,1845.0,23988712.5,1,1,4.168627
82,2016,Soria,A-15,Autopista libre y autovía,38.602,39.435,0.833,5715.0,3870.0,1845.0,1737617.2,0,0,0.0
83,2016,Soria,A-15,Autopista libre y autovía,39.435,41.332,1.897,5373.0,3473.0,1900.0,3720292.1,0,0,0.0
84,2016,Soria,A-15,Autopista libre y autovía,41.332,43.52,2.188,3098.0,2707.0,391.0,2474124.8,0,0,0.0
85,2016,Soria,A-15,Autopista libre y autovía,43.52,56.18,12.66,4891.0,4336.0,555.0,22600821.9,1,1,4.424618
86,2016,Soria,A-15,Autopista libre y autovía,56.18,63.79,7.61,8610.0,7837.0,773.0,23915566.5,1,1,4.181377
87,2016,Soria,A-15,Autopista libre y autovía,98.16,100.72,2.56,6528.0,3903.0,2625.0,6099763.2,0,0,0.0
88,2016,Soria,A-15,Autopista libre y autovía,100.72,107.43,6.71,6528.0,3903.0,2625.0,15988051.2,0,0,0.0
89,2016,Madrid,A-1A,Multicarril,40.65,43.94,3.29,4228.0,3674.0,554.0,5077193.8,2,1,39.391839
90,2016,Madrid,A-1A,Multicarril,43.94,47.35,3.41,4228.0,3674.0,554.0,5262380.2,0,0,0.0
