TRAMO_ID;anio;provincia;carretera;pk_inicio_km;pk_fin_km;imd_total;tipo_via;proporcion_pesados;EN_TEST_COMUN;MOTIVOS_EXCLUSION_EVALUACION;ESTADO_PREDICCION;PROB_ACCIDENTE_TRAMO_ANIO;FUERA_RANGO_TRAIN;INTERVALO_ID;CLAVE_TRAMO_ANIO;VERSION_MODELO;IMD_IMPUTADO
IMD_39215;2024;Segovia;A-1;123.3;130.0;20337.0;Autopista_autovia;0.1967841864581796;True;;OK;0.6894523674766069;False;Segovia|A-1|123.3|130;Segovia|A-1|123.3|130|2024;v2 | Random Forest | Base;False
IMD_39216;2024;Segovia;A-1;130.0;133.5;20531.0;Autopista_autovia;0.1571282450927865;True;;OK;0.6100125412753473;False;Segovia|A-1|130|133.5;Segovia|A-1|130|133.5|2024;v2 | Random Forest | Base;False
IMD_39217;2024;Segovia;A-1;133.5;136.8;20531.0;Autopista_autovia;0.1571282450927865;True;;OK;0.6009134314908556;False;Segovia|A-1|133.5|136.8;Segovia|A-1|133.5|136.8|2024;v2 | Random Forest | Base;False
IMD_39218;2024;Segovia;A-1;136.8;140.0;20531.0;Autopista_autovia;0.1571282450927865;True;;OK;0.6056123157531366;False;Segovia|A-1|136.8|140;Segovia|A-1|136.8|140|2024;v2 | Random Forest | Base;False
IMD_39219;2024;Segovia;A-1;140.0;140.82;20531.0;Autopista_autovia;0.1571282450927865;True;;OK;0.17124036292916323;False;Segovia|A-1|140|140.82;Segovia|A-1|140|140.82|2024;v2 | Random Forest | Base;False
IMD_39220;2024;Burgos;A-1;140.82;143.4;17367.0;Autopista_autovia;0.2101687107733057;True;;OK;0.5597780551451269;False;Burgos|A-1|140.82|143.4;Burgos|A-1|140.82|143.4|2024;v2 | Random Forest | Base;False
IMD_39221;2024;Burgos;A-1;143.4;146.3;17367.0;Autopista_autovia;0.2101687107733057;True;;OK;0.5563950829482114;False;Burgos|A-1|143.4|146.3;Burgos|A-1|143.4|146.3|2024;v2 | Random Forest | Base;False
IMD_39222;2024;Burgos;A-1;146.3;152.0;19361.0;Autopista_autovia;0.2032952843344868;True;;OK;0.7551056947632763;False;Burgos|A-1|146.3|152;Burgos|A-1|146.3|152|2024;v2 | Random Forest | Base;False
IMD_39223;2024;Burgos;A-1;152.0;153.5;19361.0;Autopista_autovia;0.2032952843344868;True;;OK;0.28392950926570415;False;Burgos|A-1|152|153.5;Burgos|A-1|152|153.5|2024;v2 | Random Forest | Base;False
IMD_39224;2024;Burgos;A-1;153.5;157.2;19361.0;Autopista_autovia;0.2032952843344868;True;;OK;0.6862610425769071;False;Burgos|A-1|153.5|157.2;Burgos|A-1|153.5|157.2|2024;v2 | Random Forest | Base;False
IMD_39225;2024;Burgos;A-1;157.2;158.5;20151.0;Autopista_autovia;0.2183514465783335;True;;OK;0.41983892022283054;False;Burgos|A-1|157.2|158.5;Burgos|A-1|157.2|158.5|2024;v2 | Random Forest | Base;False
IMD_39226;2024;Burgos;A-1;158.5;163.1;20151.0;Autopista_autovia;0.2183514465783335;True;;OK;0.7186565146607239;False;Burgos|A-1|158.5|163.1;Burgos|A-1|158.5|163.1|2024;v2 | Random Forest | Base;False
IMD_39227;2024;Burgos;A-1;163.1;167.7;21476.0;Autopista_autovia;0.1863009871484447;True;;OK;0.6577882016757506;False;Burgos|A-1|163.1|167.7;Burgos|A-1|163.1|167.7|2024;v2 | Random Forest | Base;False
IMD_39228;2024;Burgos;A-1;167.7;171.0;21476.0;Autopista_autovia;0.1863009871484447;True;;OK;0.5492235900552834;False;Burgos|A-1|167.7|171;Burgos|A-1|167.7|171|2024;v2 | Random Forest | Base;False
IMD_39229;2024;Burgos;A-1;171.0;176.1;21476.0;Autopista_autovia;0.1863009871484447;True;;OK;0.6830503174035311;False;Burgos|A-1|171|176.1;Burgos|A-1|171|176.1|2024;v2 | Random Forest | Base;False
IMD_39230;2024;Burgos;A-1;176.1;179.6;21476.0;Autopista_autovia;0.1863009871484447;True;;OK;0.5901552909072065;False;Burgos|A-1|176.1|179.6;Burgos|A-1|176.1|179.6|2024;v2 | Random Forest | Base;False
IMD_39231;2024;Burgos;A-1;179.6;185.0;21476.0;Autopista_autovia;0.1863009871484447;True;;OK;0.6977590833825417;False;Burgos|A-1|179.6|185;Burgos|A-1|179.6|185|2024;v2 | Random Forest | Base;False
