PROV;ANYO;N_ACC;VEH_KM;pred_jerarquico
Girona;2024;299;2930769648.3;315.9
Granada;2016;249;2162431915.3;
Granada;2017;159;2276329302.0;227.8
Granada;2018;206;2304296003.6;213.0
Granada;2019;189;2329086025.3;212.9
Granada;2021;273;1854753359.2;162.3
Granada;2022;204;2369200243.0;230.0
Granada;2023;242;2434730406.3;203.6
Granada;2024;175;2520715761.2;228.7
Guadalajara;2016;108;1435359659.9;
Guadalajara;2017;84;1476235090.5;98.4
Guadalajara;2018;114;1485378647.1;101.7
Guadalajara;2019;101;1590825523.1;104.7
Guadalajara;2021;82;1177730801.7;77.4
Guadalajara;2022;106;1607116518.6;98.2
Guadalajara;2023;112;1638142732.3;104.1
Guadalajara;2024;147;1683731230.4;109.9
Huelva;2016;145;1542123523.6;
Huelva;2017;143;1669518584.6;138.4
Huelva;2018;140;1681805906.8;148.5
Huelva;2019;136;1808343265.7;140.9
Huelva;2021;118;1357438092.8;105.8
Huelva;2022;144;1791073372.2;135.1
Huelva;2023;120;1829783563.5;136.6
Huelva;2024;141;1830553656.8;138.5
Huesca;2016;140;1522244367.3;
Huesca;2017;162;1563216729.5;125.1
Huesca;2018;119;1720866158.6;147.5
Huesca;2019;128;1750145235.1;135.0
Huesca;2021;93;1310207982.1;97.9
Huesca;2022;136;1724008413.8;117.8
Huesca;2023;110;1749814002.7;129.9
Huesca;2024;135;1765031222.9;132.6
Jaén;2016;109;1801654654.6;
Jaén;2017;135;1910970802.9;125.7
Jaén;2018;146;1947928446.2;140.0
Jaén;2019;154;1957083893.0;133.7
Jaén;2021;98;1401486430.0;94.2
Jaén;2022;116;1996380352.0;120.4
Jaén;2023;79;1947299417.2;115.6
Jaén;2024;102;2036537905.7;119.5
La Rioja;2016;136;1479099055.8;
La Rioja;2017;138;1475088556.1;132.2
La Rioja;2018;116;1400117889.0;130.5
La Rioja;2019;116;1443590037.8;125.4
La Rioja;2021;111;1114817878.1;94.9
La Rioja;2022;116;1384532147.6;108.6
La Rioja;2023;116;1427214864.9;113.2
La Rioja;2024;116;1455689789.5;117.5
León;2016;187;1920727212.0;
León;2017;193;1935589067.4;155.3
León;2018;180;1998194055.2;166.3
León;2019;178;2012884145.7;164.5
León;2021;103;1506628261.1;114.7
León;2022;112;1941516283.6;131.7
León;2023;133;2009153798.6;139.5
León;2024;106;2057154566.5;143.0
Lleida;2016;239;1837412754.5;
Lleida;2017;260;1887352961.7;252.4
Lleida;2018;271;1915150251.7;271.7
Lleida;2019;261;1979809179.3;268.9
Lleida;2021;207;1385460120.6;181.1
Lleida;2022;235;1941533834.1;224.9
Lleida;2023;237;2020377163.1;236.4
Lleida;2024;250;2100027870.2;254.3
Lugo;2016;123;1640157371.7;
Lugo;2017;131;1693267098.5;112.1
Lugo;2018;123;1655110242.3;118.9
Lugo;2019;107;1709300023.6;121.3
Lugo;2021;105;1278312235.9;80.8
